model,tau_retail,tau_airline,swe_bench,gpqa,mmlu_pro
Claude 3.5 Sonnet,69.2,46.0,49.0,65.0,78.0
Claude 3.7 Sonnet,81.2,58.4,62.3,68.0,78.2
Claude Sonnet 4,80.5,60.0,72.7,75.4,
Claude Opus 4,81.4,59.6,72.5,79.6,
Claude Opus 4.1,82.4,56.0,,,
Claude Sonnet 4.5,86.2,70.0,77.2,83.4,
GPT-4o,60.3,,33.2,53.6,72.6
GPT-4.5,68.4,50.0,38.0,71.4,73.6
GPT-4.1,68.0,49.4,54.6,56.5,73.6
GPT-4.1 mini,55.8,,28.9,43.7,64.2
GPT-4.1 nano,22.6,,,,55.6
o1,70.8,50.0,48.9,78.0,83.6
o3-mini,57.6,,49.3,77.0,80.0
o4-mini,71.8,49.2,68.1,81.4,81.4
Claude 3.5 Haiku,51.0,,40.6,41.0,65.0
